cancel_order,change_order,change_shipping_address,check_cancellation_fee,check_invoices,check_payment_methods,check_refund_policy,complaint,contact_customer_service,contact_human_agent,create_account,delete_account,delivery_options,delivery_period,edit_account,get_invoice,get_refund,newsletter_subscription,payment_issue,place_order,recover_password,registration_problems,review,set_up_shipping_address,switch_account,track_order,track_refund
,,,,how can I view my bills?,,,,"I need information, what do I have to do to speak with Client Service?",you arent helping and i want to speak with someone,"I've got no account, how can I register?",,,,,information about seeing an invoice,"I need a refund, obtain one, please",,I have a problem paying for mmy online order,,"someone stole my account password, could you retrieve it?",,,,,I wanna know where to track my shipment,
,,,,"i didn't receive my bill, help me check it",,,,"I want information, can you talk to Customer Service?","you're not helping, how do I talk to a huamn?","i dont have a user account, i need help registering, please",,,,,what information can u tell me about getting a invoice?,"the event was casncelled, how do I request an reimbursement?",,"an error pops qhen I attempt to make a payment with cardf, what should I do?",,"my user account was hacked, can i get it back?",,,,,how can I check the status of my order?,
,,,, where to view my bills,,,,can you show me the free number of Customer Service?,"please,  if i can contact a human agent?",I want to know if I can create several user accounts with a single email,,,,,"I want to see some bills, can you show me some information?",could u  to request a refund?,,"I got an error when I tried to make an payment, but my card was charged anyway, what should I do to report it?",,"my account's been hacked, how do I get it back?",,,,,"i wanna check my deliveries, could you tell me how to do it, please?",
,,,,"I can't find my invoices, what should I do to check them?",,,,i want information and i want to call customer support,"you're not helping, can you talk to someone?","I haven't got an online account, I need help opening one",,,,,I want to know how I can see an invoice,"the game was cancelled, help me request a refund",,"i have a problem when trying to pay for my online order, what should i do?",,"I lost my account password, what should I do to retrieve it?",,,,,"I want to view the status of my order, what should I do?",
,,,,can i see my invoice?,,,,I need help calling Client Service,can I contact someone?,i have no user account and i want to open one,,,,,"could u get an invoice, please?","I need a reimbursement, how do I obtain one?",,"an error pops when i attempt to make a payment for my online order, what do i have to do?",,"my profile's been hacked, can I recover it ?",,,,,how  to check my shipment,
,,,,"I didn't receive my bills, I need help checking them",,,,"I want information, what should I do to contact Client Service?","I can't understand you, what should I do to contact a person?",I need help creating an online account,,,,,"i wanna get an invoice, tell me where to do it","I ened a refund, get one",,"I have a problem when trying to pay with card, what can I do to report it?",,"my profile's been hacked, what can i do?",,,,,"i wanna track my shipment, tell me how I can d it",
,,,," where to view my invoices, please?",,,,"I have a question, what do I have to do to speak with Customer Support?","I don't understand you, can you contact a human?","I want a user account, help me create one",,,,,"please , i want to know where I could see an invoice",the show was postponed and I want to get a reimbursement,,i want to inform of problems paying,,someone stole my fucking account password and I'd like to reset it,,,,,where can I check my packages?,
,,,,"I can't find my bills, could I see them?",,,,"i need information, i need help calling customer service","I can't understand you, can you talk to someone?",tell me if I can create several profiles with the same eemail,,,,,"i would like to obtain some invoices, could you tell me how I can do it?","the concert was caancelled, request a refund",,"I got an error when I tried to pay, but my card was charged anyway, could I inform of it?",,someone stole my password and i want to reset it,,,,,can you tell me how I can know where my package is?,
,,,,"i didn't receive my bills, what do i have to do to check them?",,,,tell me what the email to contact Customer Support is,"you're not helping, what do I have to do to talk to a human?","I have no online account, how can I create one?",,,,,tell me how to get some bills,"the event was postponed, what should I do to request a reimbursement?",,"an error pops when I attempt to pay for my order, what can I do?",,"I can't rdmember my password, can I reset ikt?",,,,,can you  where to check my delivery?,
,,,,"I didn't receive my bill, help me see it",,,," how i could speak with fucking client service, please","I don't understand you, I need help contacting someone","I want an online account, what do I have to do to create one?",,,,,information about donwloading some bills,hgow do I get a  reimbursement?,,"I got an error message when I attempted to make a payment, but my card was charged anyway, how do I report it?",,"someone stole my account password, can u retrieve it?",,,,,I want to know where I can chedk my delivery,
,,,, how I could see my invoices,,,,"i need information, what should i do to send an email to client service?",I can't understand you and I want to contact a person,"I haven't got a user account, how do I open one?",,,,,I want to get some invoices,the event was postponed and i want to request a reimbursement,,"i have a problem paying with card, i need help notifying it",,"I forgot my password, what should I do?",,,,,I want to know how I can know where my delivery is,
,,,,"I can't find my invoices, what should I do to view them?",,,,I want to know if there is a free phone number to contact Customer Service,"I can't understand you, how can I contact someone?", how i can open a user account,,,,,can I get a bill?,"the event was postponed, what can i do?",,"i have a problem paying with card , what can i do to notify it?",,someone stole my account password and I want to retrieve it,,,,,tell me how to check myshipment,
,,,, how I could see my invoices?,,,,show me the no to contact Customer Support,"i dont understand you, how can i talk to a human ?","I want an account, can I create one?",,,,,I want to know how I can download a bill,where can i obtain a fucking reimbursement?,,how do I solve an issue making a payment?,,"my account has been hacked , how do i get it back?",,,,,i wanna know where I can check my packages,
,,,,"i wanna see my invoice, can u help me?",,,,"I want information, how can I speak with Customer Service?","you're not helping, help me talk to a person","ive got no profile, what can i do to create one ?",,,,,can you tell me where tro see a bill?,"the event was postponed, what do i have to do to request a reimbursement?",,i have an issue paying with card and i want to inform of it,,how can I retrieve my account password?,,,,," how to track my orders, please?",
,,,,"I lost my invoices, how can I view them?",,,,I want information about the email of the Customer Service,"I can't understand you, what should I do to talk to someone?",i want to knpw if i can create more than one account with a single email,,,,," how I could see a bill, please?","the game was cancelled, can I get a refund?",,"i want to solve a problem paying, what do i have to  do?",,I can't remember my password and I want to retrieve it,,,,,can you tell me if I can track my shipment?,
,,,,"i lost my bill, check it",,,,show me the email address to contact Customer Service,"please, i want to know if there is any fucking person available",I want to know if I can create several accounts with the same email address,,,,,Id like to request information about getting some invoices,"i need a reimbursement, what can i do?",,"can u  ask how i can notify payment issues, please?",,"my user account was hacked, can you get it back?",,,,,can you show me the status of my order?,
,,,,"I didn't receive my bills, what can I do to check them?",,,,"can you show me the free number to contact Customer Support, please?","i dont understand you, i need help speaking with an persson",i wanna know if i can register several online accounts with the same email,,,,,what can you tell me about obtaining a bill?,"i need a refund, what can i do to request one?",,"I get an error message when I attempt to make a payment, what should I do?",,"my profile was hacked, can I recover it?",,,,,I want to know how I can track my deliveries,
,,,, about my invoice?,,,,"i want information, what can i do to call cuwtomer support?", if i can speak with a human agent?,tell me if I can have more than  one online account,,,,,what information do you have about seeing an bill?,"the game was postponed, what do I have to do to get a reimbursement?",,I need help informing of payment problems,,"my online account's been hacked, can I get it back?",,,,,ccan you check the status of my purchase?,
,,,,"please, could you show me my bills?",,,,i  wannacall customer service,I need help speaking with someone,"I have no user account, can I create one?",,,,,where to obtain an invoice,"the game was cancelled, help me get a reimbursement",,"I'd like to report a problem paying, could you help me?",,"my online account was hacked, what an i do to recover it?",,,,,can you tell me if I can track my package?,
,,,,"I can't find my bill, what can I do to see it?",,,, if client service is available?,"I can't understand you, what shoupd I do to speak with a human agent?","could you tell me if i could register several online accounts with a single email address, please?",,,,,"I want to get some bills, can you give me some information  ?","the show was postponed, could I request a fuckingreimbursement?",,how do  I solve iswsues paying?,,"I can't remember my account password, how do I reset it?",,,,,"i want to check my shipments, tgell me where to do it",
,,,,where do I view my invoice?,,,,could you show me the free phone number of Client Service?,I don't understand you and I want to speak with a human agent,tell me if I can register two user accounts with a single email,,,,, for information about seeing some invoices?,"i want to get a reimbursement, what do i have to do?",,"i got an error wen i tried to pay, but my card was charged anyway, what do i have to do to inform of it?",,"please, can you  how I can retrieve my account password?",,,,,is it possible to track my deliveries?,
,,,,"i didn't receive my fucking invoices, can i check them?",,,,"i want information, what should i do to send an email to client service?", how i can speak with someone,can I register several user accounts with the same email?,,,,,i want to know how I can request some bills,the show was cancelled and I want to request a refund,,"I want to report an issue with my payment, what do I have to do?",,"someone stole my password, can i reset it?",,,,,help me check my package,
,,,,how can I check my bills?,,,,can you tell me the free phone number to contact Customer Sevrice?,"you aren't helping , how can I speak with a hman agent?","can you tell me if i can register more than one profile with the same email, please?",,,,,I want to know if I can request some bills,"the show was postponed, howcan I obtain a reimbursement?",,"I have a problem when trying to make a payment with card, what do I have to do?",,"my online account's been hacked, how can I get it back?",,,,,can you  if i can track my orders?,
,,,,"i lost my invoices, what can i do to view them?",,,, if I could speak with Client eSrvice?,"you arent helping and id like to contact someone, please",can I register more than one account with the same email?,,,,,I want to know something about getting some bills,"I want a refund, how do I obtain one?",,"please,  where i could report fucking issues paying?",,"I forgot my account password, can I reset it?",,,,, where to track my package,
,,,,"I didn't receive my invoice, can you show it?",,,,what's the email of Client Service?,"you aren't helping, how do I speak with a human agent?","please, I want to know if I can register more than one online account with the same email address",,,,,tell me where I can get a bill,"the concert was postponed, what do I have to do to obtain a refund?",,I need help informing of issuees with my payment,,"someone stole my password, help me retrieve it",,,,,I want to know if I can track my shipment,
,,,,how can I see my invoices?,,,,"I have a question, what do I have to do to talk to Customer Support?",I need hepl contacting a person,"I want a user account, what should I do to create one?",,,,,tell me where I can download an invoice,"please,  what I can obtain a fucking reimbursement for",,"I have a problem paying, can you notify it?",,"my user account's been hacked, can you recover it?",,,,,"please, can you  how to know where my fucking shipments are?",
,,,,i lost my invoice and id like to view it,,,,"id like information, can i call customer support, please?","I can't understand you, I need help talking to a human","I have no user account, create one",,,,,obtain some invoices,"the concert was cancelled, what should I do to obtain a reimbursement?",,"an error pops when i try to pay for my order, what should i do?",,"my user account's been hacked, can I get it back?",,,,,how to check the status of my ordet,
,,,,"I didn't receve my bill, hwat do I have to do to check it?",,,,"I have a question, how do I send an email to Customer Support?","i dont understand you, can i talk to a person, please?",can you tell me if I can own several accounts?,,,,,where can I get an invoice?,"please, can you  how I could get a fucking refund?",,"i have a issue making a payment with card, can u report it?",,"someone stole my password, can I recover it?",,,,,how can I check my orders?,
,,,,I can't find my bill and I want to check it,,,,can I speak with Customer Support?,o want to contact a human,"i havent got a user account, what should i do to register?",,,,,can you request some bills?, to request a reimbursement,,"I have a problem making a payment with card, help me notify it",,"my fucking account's been hacked, how do I reocver it?",,,,,can you  what my deliveries of my fucking package is?,
,,,,chdck my invoices,,,,"i need information, i need help speaking with customer service","I can't understand you, what can I do to contact a human agent?","I need a user account, I need help opening one",,,,,"i wanna request a bill, can you show me some information?","i need a reimbursement, what do i have to do to obtain one?",,how do I inform of payment problems?,,"i forgot my password, can i reset it?",,,,,where can I track my packages?,
,,,,can you provide information about my invoices?,,,,"i want information, what do i have to do to talk to customer service?","I don't understand you, can you talk to a human?",i wanna know if i can register more than one user account with a siingle email,,,,,I want to know where to get an invoice,the game was postponed and I want to get a refund,,"I have a problem making a payment with card, I need help notifying it",,"my fucking user account's been hacked, and I need help getting it back",,,,,how to check my orders,
,,,,"I can't find my invoice, can you view it?",,,, what the number of Customer Service is,you aren't helping and I want to talk to a person,"I have no online account, help me create one",,,,,"I want to download a bill, tell me where to do it","the game was postponed, how do I get a refund?",,"I have an issue when trying to make a payment, what can I do to inform of it?",,"my profile's been hacked, how do I recover it?",,,,,"i want to track my packages, could you tell me where I can do it?",
,,,,I didn't receive my bill and I want to see it,,,,"I want information, can I call Customer Support?",how do I talk to a human?,"i want to create an account, what should i do?",,,,,obtain an invoice,"the game was postponed, what can I do to request a reimbursement?",,"I got an error message when I attempted to make a payment, but my card was charged anyway , I need help informing of it, please",,"my fucking account was hacked, what can i do?",,,,,how to check my order,
,,,,i lost my bill and i wanna view it,,,,I want to know what the free phone number of Customer Service is,"I don't understand you, I need help talking to someone",I want to know if I can have several user accounts,,,,,"I wanna get some bills, can you tell me how I can do it?","the game was cancelled, what should I do to request a reimbursement?",,"I have an issue when trying to make a payment with card, what can I do to notify it?",,"I forgot my password, what do I have to do to recover it?",,,,, where I ca check my orders?,
,,,,"I can't find my bill, how can I view it?",,,,"I need information, I need help talking to Customer Service","I can't understand you, what can I do to contact a human ?","I have no account, what can I do?",,,,,I want to request information about obtaining some invoices,"I need a reimbursement, what do I have to do to get one?",,I want to notify issues paying,,could u  how to reset my account password?,,,,,"id like to track my orders, can you tell me how to do it, please?",
,,,,"I can't find my invoice, what should I do to check it?",,,,I want informnation about the mail of the Client Service,"you aren't helping, what do I have to do to speak with a human?",I need a user account and I want to open one,,,,,I need information about downloading an invoice,"I want a refund, how do  requesg one?",,"I want to inform of a payment issue, what should I do?",,"I forgot my account passsord, can you retrieve it?",,,,,I would like to check my packages,
,,,,"I can't find my invoices, show them",,,,"I have a question , I need help contacting Customer Service","I don't understand you, can you speak with a human?",I want to know if I can create several accounts with the same email,,,,,can you tell me if I can get some bills?,"I need a reimbursement, what should I do to obtain one?",,"I have an issue paying for my online order, how can I notify it?",,"my account was hacked, and I need help getting it back",,,,, how i could view the status of my fucking purchase?,
,,,,I didn't receive my invoices and I want to check them,,,,"I have a question, can you call Customer Support?","you arent helping, can i speak with a human agent?",tell me if I can register more than one account with a single email address,,,,,i wanna know how I can see an invoice, how I can get a refund?,,how to report a payment issue,,"I can't remember my password, what should I do to retrieve it?",,,,, how I can know where my orders are?,
,,,,"I can't find my bills, help me see them",,,,send an email to customer service,you arent helping and i wanna talk to a human,"tell me if I could register two online accounts with the same email, please",,,,,"I want to request an invoice, can you tell me how I can do it?","I would like to obtain a refund, could you help me?",,"I got an error message when I tried to make an payment, but I was charged anyway, I need help notifying it",,"I lost my password, wht can I do to recover it?",,,,,I wanna know whewre I can track my shipment,
,,,,"I can't find my bills, I need help seeing them",,,,i wanna know if there is a free number to contact client service,"you're not helping, I need help speaking with a human agent","I've got no account, can you help me?",,,,,"please, i want to know where to request a bill","the game was postponed, how can I obtain a reimbursement?",,"I get an error message when I attempt to pay for my online rder, what can I do?",,"I want to recover my account password, what do I have to do?",,,,,were do i check the status of my purchase?,
,,,,"I didn't receive my invoice, I need help seeing it",,,,"I want information, how can I contact Customer Service?"," if i can speak with a fucking person, please?",i wanna know if i can create several fucking user accounts with a single email address,,,,,"I wanna download a bill, can you tell me how to do it?","the game was postponed, what should I do to request a reimbursement?",,ak  if i can notify a problem paying,,"my user account's been hacked, how can I recover it?",,,,, if i can see the status of my purchase,
,,,, to show me information about my invoices?,,,,can you tell me what the free no to contact Client Service is?,"you aren't helping, talk to a person","I haven't got an account, how do I open one?",,,,,i want to get information about seeing an invoice,where do i obtain a reimbursement?,,"i get an error when i try to pay, what do i have to do?",,"ym profile's been hacked, reocver it",,,,,help me check the status of my purchase,
,,,,"I didn't receive my invoices, check them",,,,can you tell me what the phone number of Client Service is?,"Idon't understand you, can I contact a human?","I haven't got a user account, can I register?",,,,,"I want to see a bill, tell me how I can do it","the game was cancelled, could I get a reimbursement?",,"i get an error message when i try to make a payment for my online order, what do i have to do?",,I can't remember my account password and I want to reset it,,,,,I want to know how I can track my package,
,,,,"I lost my bills, show them",,,,ohw to speak with Customer Support,"I don't understand you, how can I talk to a person?","I haven't got a user account, what can I do to register?",,,,,"i wanna see some fucking bills, can you givge me some information?", what i can request a reimbursement for?,,i have a problem when trying to pay for my online order and i want to inform of it,,"my online account's been hacked, help me recover it",,,,,can you tell me how to track my shipment?,
,,,, where to view my invoice,,,,can you tell me the free phone number if Customer Support?,how to contact a human, where to create an account?,,,,,tell me if I can get a bill,"the show was postponed, what can I do?",,"please,  to report a payment issue",,"i want to retrieve my password, what should i do?",,,,,can you tell me how I can track my delivery?,
,,,,"I lost my bill, can you show it?",,,,"I want information, can you speak with Client Service?",you aren't helping and I want to talk to someone,"I have no user account, what should I do?",,,,,tell me how I can download some invoices,the game was cancelled and I want to get a refund,,how can i notify a payment issue?,,"my account's been hacked, can you get it back?",,,,, if i can trcak my shipment?,
,,,,I want to check my invoices,,,,can you tell me what the number to contact Client Service is?,"you aren't helping, how do I talk to a human agent?",can you tell me if I can register two profiles with the same email ?,,,,,i want to know if I can request some invoices,"the concert was cancelled, can I obtain a reimbursement?",,"please, can you  if I could solve a fucking issue paying?",,my profile's been hacked and I want to recoevr it,,,,,where do I check my shipments?,
,,,,I want to see my invoices,,,,"please, can you tell me if there is a free phone number to contact fucking customer support?","you're not helping, talk to a human agent","I hae o user account, I need help creating one",,,,,information about seeing some invoices,can I obtain a reimbursement ?,,"I have an issue when trying yo pay, help me inform of it",,my online account was hacked and I want to recover it,,,,,can u check my orders?,
,,,,where can I see my invoices?,,,,I want information and I want to speak with Customer Support,help me speak with someone,"I need a profile, what should I do to create one?",,,,,can you tell me where I can download an invoice?,"the show was cancelled, can I obtain a refund?",,"I have a problem when trying to pay for my order, how can I inform of it?",,"someone stole my account password, recover it",,,,,I want to know how to track my shipments,
,,,," where i can se my bill, please",,,,I want to see the email address to contact ustomer Service,"I don't understand you, contact a person","I haven't got an  account, what do I have to do to open one?",,,,,"I want to see some bills, can you tell me how I can do it?","the concert was postponed, can i obtain a reimubrsement, please?",,"I got an error message when I tried to pay, but I was charged anyway, can I inform of it?",,"I forgot my password, I need help resetting it",,,,, if my fucking shipment is out for delivery?,
,,,,can you  to provide information about my fucking bills?,,,,is there a free phone number to contact customer service?,I need help speaking with a person,"i hve no user account, what do i have to do to open one?",,,,,i want to know where I can see a bill,"the event was postponed, could i request a fucking refund?",,how to report a problem paying,,"my account's been hacked, how can i recover it?",,,,,can you tell me if my package is out for delivery?,
,,,,i lost my fucking bills and id like to see them,,,,can u show me the mail of the Customer Service?,"you're not helping, can you contact a person?",can I create more than one account with a single email?,,,,, how to see some invoices, to obtain a reimbursement?,,"could u  how to inform of issues paying, please?",,"I lost my acocunt passweord, could you recover it, please?",,,,,can you tell me where I can track my packages?,
,,,,canu  if i can view my invoices?,,,,"I have a question, how can I send an email to Customer Support?", if i could speak with a fucking human agent?,"I've got no account, how do I register?",,,,," how to request some fucking invoices, please?",I need help receiving a reimbursement,,"I have a problem making a payment, notify it",,"my cacount's been hacked, what can i do?",,,,, if I could track my fucking orders?,
,,,,"i lost my invoices, what do i have to do to check them?",,,,I want to know what the mail address of Customer Support is,"I can't understand you,  talk to someone","I don't have a profile, what should I do?",,,,,can you tell me if I can get a biol?,"please,  where I could obtain a reimbursement",,"I have a problem when trying to pay for my order, what should I do to notify it?",,"I lost my account apssword, retrieve it",,,,,can I check my package?,
,,,,"I can't find my bills, view them",,,,"I want information, help me call Customer Service",you aren't helping and I want to speak with someone,ho to rceate a profile,,,,,i wqant to get information about downloadeing a bill,"I need a refund, what can I do to obtain one?",,"I want to inform of a problem poaying, can you help me?",,,,,,,I wanna know where to check my orders,
,,,,I didn't receive my invoices and I want to see them,,,,can you show me the email of Client Service?,"lpease,  how I can speak with a person?","help me create a profile,please",,,,,"I want to download some bills, tell me how I can do it","I want a reimbursement, how do I obtain one?",,i have an issue making a payment,,,,,,,how can I track my order?,
,,,,"I can't find my invoices, what can I do to check them?",,,,"please,  what the email to contact Client Sefvice is?","you aren't helping, how do I talk to a human?","I need an account, can I create one?",,,,,I want to know if I can obtain an invoice,"the show was cancelled, can I get a reimbursement?",,how can I report issues making a payment?,,,,,,,can you tell me if I can track my shipments?,
,,,,how can I view my invoices?,,,,"i want information, how do i speak with client service?","you're not helping, I need help talking to a human",tell me if I can register several online accounts with the same email address,,,,,can u obtain a bill?, where i can request a reimbursement?,,I want to inform of an issue paying,,,,,,," howw to track my delivery, please?",
,,,,"I didn't receive my bills, I need help viewing them",,,,I want information about the mail address of the Customer Support,youre not helping and i wanna talk to a person,"I've got no online account, what do I have to do to register?",,,,,"I want to request a bill, tell me where I can do it","the game was cancelled and I'd like to obtain a fucking reimbursement, please",,"I have an issue paying for my order, can you notify it?",,,,,,,tell me  were to track my order,
,,,,"I can't find my bills, how do I view them?",,,,"could you tell me the fucking email to contact Customer Service, please?","I don't understand you, can I talk to a person?",can you tell me if i can register more than one account with a single email address?,,,,,"please,  if I could get a fucking invoice?",the concert was cancelled nad I want ot get a reimbursement,,"an error pops when I try to make a payment for my order, what can I do?",,,,,,," how I could know where my packages are, please?",
,,,,i can't find my bills and i wanna see htem,,,,"please, could u  what the mail to contact customer service is?",how to speak with a fucking human agent,"I have no user account, what can I do to open one?",,,,,how to download some invoices,the concert was postponed and i wanna request a refund,,an error pops when I try to make an payment for my order,,,,,,,is my shipment out for delievry?,
,,,,can i view my invoice?,,,,"i have a question, can u contact customer service?",I want to talk to a human,I want to open a user account,,,,,where to see a bill,"the gvame was postponed, can I request arefund?",,"I have a problm when trying to  pay with card, what can I do?",,,,,,,"I want to track my delivery, can you tell me where to do it?",
,,,,"I didn't receive my bills, how do I check them?",,,,can you tell me what the mail of the Client Service is?,"please, can you ohw I can speak with a human?","please, I want to know if I an create two accounts with the same email",,,,,can you tell me how to request a bill?,"the game was cancelled, what can I do to obtain a reimbursement?",,I want to notify issues making a payment,,,,,,,can you  if my orders are out for delivery?,
,,,,i want to check my bills,,,,can u give me information about the mail of the Customer Service?,"I can't understand you, I need help speaking with someone","i dont have a profile, can i create one?",,,,,I want to know where to get a bill,"the event was postponed, how do I get a reimbursement?",,"I have a problem when trying to make a payment, what do I have to do?",,,,,,,I want to know how to track my packages,
,,,,I can't find my bill and I want to see it,,,,"please,  what the mail address of Customer Service is","I can't understand you, can I speak with a person?",i have no account and i want to open one,,,,, whree to get a bill?,could u  how i can request a reimbursement?,,"please,  where i could report a problem making a payment",,,,,,,can you give me information about the status of my order?,
,,,, how to view my fucking bill,,,,i wanna ese the email to contact customer service,can I speak with a human?,"i have no online account, can u open one?",,,,,can you  if I can see some invoices?,"i need a refund, what should i do to get one?",,I want to report a pfoblem with my payment,,,,,,,tell me how to know where my package is,
,,,,"I lost my bill, what do I have to do to view it?",,,,"I need information, what do I have to do to talk to Customer Service?","I can't understand you, can you speak with a human agent?",how to create an online account,,,,,help me download some bills,"the show was cancelled, help me request a reimbursement",,"I'd like to solve a payment issue, can you help me?",,,,,,,where can I view the status of my purchase?,
,,,,"i didn't receive my invoices, how do i see them?",,,,whats the mail address to contact Client Service?,"you aren't helping, can you contact someone?","I have no user account, I need help pening one",,,,, if i could request some fucking invoices?,"can you  where I can request a refund, please?",,"i get an error message when i attempt to pay with card, can u help me?",,,,,,,"I want to check my delivery, tell me where I can do it",
,,,,I want to view my invoice,,,,show me the mail to contact Customer Service,"you arent helping, can u contact a person?","I need an account, how can I create one?",,,,,can you tell me if I can request an invoice ?,"I need a refund, what do I have to do to get one?",,"I get an error when I try to pay with card, what should I do?",,,,,,,"i want to check my deliveries, can you tell me where to do it?",
,,,,"please, can you  how to see my bill?",,,,I want to see the email of Customer Service,"i cant understand you, i need help talking to a human",tell me if I can register more than one online account with the same email,,,,,"I want to download some invoices, can you tell me how I can do it?","I need a refund, what should I do?",,I need help notifying problems making a payment,,,,,,,"I want to check my shipment, tell me where to do it",
,,,,"I can't find my bill, what do I have to do to check it?",,,,I want to know what the number to contact Customer Service is,"you aren't helping, how do I talk to someone?","I have no account, can you createw one?",,,,, how I can download some bills,"the concert was postponed, how can I request a refund?",,I want to notify payment issues,,,,,,,"please,  how to check my shipments?",
,,,,"I can't find my invoice, can I chedk it?",,,,"I want information, how can I talk to Customer Support?","I can't understand you, how can I talk to a human?",I have no user account and I want to register,,,,," where I can see a fucking invoice, please?","I want a refund, what do I have to do to request one ?",,"I have an issue when trying to make a payment with card, what should I do?",,,,,,,can you tell me if my orders are on their way?,
,,,,"I want to view my invoices, what ddo I have to do?",,,,"could u  what the fucking mail address of the Customer Service, please?","you're not helping, help me contact a human",i want to know if i can create more than one profile with the same email address,,,,,"can you  to send me some invoices, please?",can i obtain an reimbursement?,,"I have a problem making a payment with card , what should I do?",,,,,,,can i track my purchase?,
,,,, if i can view my bills,,,,"can you tell me the mail to contact Client Service, please?",can I speak with a person?,I do not have a fucking profile,,,,,can you  how I could get some invoices?,the concert was postponed and i want to obtain a refund,,could u  where i can report issues making a payment?,,,,,,,I want to know how to track my package,
,,,,"i didn't receive my invoices , i need help viewing thme",,,,"I needinformation about the fucking mail address to contact Client Service, please","u are not helping, can u contact a human agent?","I have no account, can I open one?",,,,,I want to know if I can request a invoice,how do I obtain a reimbursement?,,"an error message pops when I try to pay for my online order, can you help me?",,,,,,," if I can check my package, please?",
,,,,"I want to check my invoices, can you help me?",,,,how do I speak with Client Service?,"I don't understand you, what should I do to talk to someone?","I need an online account, what should I do?",,,,,can you  if i could request some bills?,"I want to get a reimbursement, what can I do?",,"I have a problem when trying to pay for my order, can I notify it?",,,,,,," whats the status of my oeder, please?",
,,,,I lost my invoices and I want to check them,,,,what's the free phone no of Customer Service?,"I don't understand you, could you talk to a person?","I've got no profile , what can I do to create one?",,,,,how do I get an invoice?,"the event was cancelled, what do i have to do to obtain a reimbursement?",,"I have a issue paying with card, how can I inform of it?",,,,,,,tell me if I can track my orders,
,,,,"I can't find my bills, what can I do to check them?",,,,show me the free phone number of Client Service,"you're not helping, help me speak with a human agent","I don't have a user account, what should I do?",,,,,I wanna know how I can obtain a bill,ask aexa if i can get a reimbursement,,I want to notify an issue making a payment,,,,,,,how do I know where my shipment is?,
,,,,"i lost my invoices, help me see them",,,,help me speak with client service,contact someone,"i havent got a profile , what do i have to  do?",,,,,"I want to see a bill, can you tell me where I can do it, please?",where can I request a refund?,,"i have a problem making a payment with card, can i report it?",,,,,,, to show me information about the status of my purchase?,
,,,, where to check my bills,,,, what the free number of client service is,"I can't understand you, can I talk to a human agent?",can I own several profiles?,,,,,"Id like to download some fucking invoices, could you tell me how to do it, please?","thje game was postponed, can you help me?",,"I have a rpoblem paying for my order, what should I do to report it?",,,,,,,can you tell me about the status of my order?,
,,,," how I could view my invoices, please?",,,,"could you tell me the fucking number to contact Customer Support, please?","u are not helping, what can i do to talk to a human?","i need an account, what can i do?",,,,,request some bills,"the show was postponed, what can i do to get a refund?",,"I got an error message when I tried to pay, but I was charged anyway, can I report it?",,,,,,,I need help seeing the status of my purchase,
,,,,,,,,"i have a question and i want to talk to customer support, please","you aren't helping, what do I have to do to talk to a human?",I want to know if I can register several profiles with a single email,,,,,tell me about seeing some bills,"I'd like a refund, how do I request one?",,"an error message pops when I try to pay for my order, can you help me?",,,,,,,tell me how I can know where my shipment is,
,,,,,,,,"please, speak with fucking client service",I can't understand you and I want to contact a human,"I want a user account, I need help creating one",,,,,I want to get information about getting an invoice,"the event was postponed, what do I have to do to obtain a reimbursement?",,"I have a problem paying with card, what should I do?",,,,,,,how do I check m orders?,
,,,,,,,,can you tell me the hours of Customer Service ?,"I can't understand you, can I talk to an human?",tell me if I can register two user accounts with the same email,,,,,i want to know if i can get an invoice,where can I obtain a reimbursement?,,I have a issue when trying to pay with card and I want to notify it,,,,,,,can you track my packages?,
,,,,,,,,i have a question and i wanna contact customer support,"I can't understand you, howdo I contact a person?","i want to open an account, what should i do?",,,,,I want to ask for information about downloading some bills,"the show was cancelled, what should I do to get a refund?",,"I have a problem paying, how can I inform of it?",,,,,,,I want to know if my orders are on their way,
,,,,,,,,"id like information, can u callfucking customer support, please?","I don't understand you, what can I do to contact someone?","I want an online account, what should I do?",,,,,I want to know how I can download some invoiices,"I need a reimbursement, how do I get one?",,"I got an error when I tried to pay, but I was charged anyway, what do I have to do to report it?",,,,,,, if my order is on its way?,
,,,,,,,,"i have a question, how can i talk to customer support?","I don't understand you, help me talk to a human agent", how i could create a user account,,,,,tell me where I can request an invoice,"the game was opstponed, what can i do to obtain a refund?",,"I have an issue paying with card, notify it",,,,,,,"I want to view th status of my order, can you help me?",
,,,,,,,,I want to know what the mail address of Customer Service is,tell me if there is any human agent available,can I register several online accounts with the same email address?,,,,,can you get an invoice?,I want to receive a reimbursement,,"I have an issue when trying to pay with card, what should I do?",,,,,,,"I want to check my delivery, tell me how to do it",
,,,,,,,,can you tell me the free number of Customer Support?,"u are not helping, how do i contact a human?","I've got no user account, can I create one?",,,,,tell me if I can obtain some bills,"the show was cancelled, obtain a reimbursement",," how I can inform of issues with my apyment, please",,,,,,,tell me where I can check my order,
,,,,,,,,can i send an email to customer support?,how to talk to a person,"I want an account, create one",,,,,I want to ask for information about seeing an invoice,how can i receive a reimbursement?,,"id like to solve a problem paying, what can i do?",,,,,,,"can you  where I could track my package, please?",
